Iteration,Pancake Values,Syrup Values,PancakeAndSyrup Values
90,52,-2124069337,-632017550
91,52,234789124,84485590
92,26,1773381043,-910233158
93,26,-669009407,-70986947
94,52,-1785652170,-1587851135
95,78,-614290211,-262737430
96,58,-683309991,-307233889
97,78,-826085551,1204034914
98,26,-1219210585,-1482491525
99,65,313811103,-350757540
100,65,131970051,-237567818
101,145,-1376468632,927271668
102,174,500778278,1195948948
103,174,-644208048,-1325826473
104,65,202757613,-1471881116
105,78,1392091329,21938848
106,26,458802564,668727187
107,65,-2145863780,1564923632
108,116,-1981761120,14832500
109,58,1947358215,1897012913
110,65,760893279,605521445
111,13,1434236049,1034951675
112,87,503307290,594320410
113,116,129765382,559693387
114,13,1904671809,-1983407433
115,58,-117245843,-227883692
116,65,-1958277183,1822475916
117,145,1953314395,-588025710
118,39,-741159613,1442469643
119,145,886872159,-998787838
120,52,1687929711,992523818
121,39,1993617649,-1816594934
122,52,2014736490,211233
123,78,-686136520,861902559
124,52,151229790,-923673015
125,78,-1667777507,-1496949478
126,65,-1978184250,1728255672
127,39,122665309,470240629
128,52,147557126,-760165993
129,65,1905478777,-164738006
130,145,-413478367,-13167468
131,39,665246390,1670421296
132,26,1564160113,-1781978922
133,39,1331075248,824398207
134,87,-1204555759,1575507788
135,29,-429591680,-736620715
136,39,-111477345,-121450111
137,39,-818638707,537168733
138,29,1483451826,-1314951788
139,58,1974753875,-55378095
140,29,1476289217,1023190867
141,29,-470377393,-609766535
142,116,-1607152472,1145192610
143,174,1818683536,-733604099
144,87,-845309441,1394453294
145,26,1631584797,553943009
146,87,1491578231,-723988513
147,78,149742189,-774321798
148,13,-1736097213,829699612
149,78,1220918749,1797869434
150,26,1574150312,2053577492
151,145,-1853397084,127950036
152,65,-1029009545,-953234239
153,26,429119580,-215207128
154,116,573548680,-803651762
155,78,503863341,1903775864
156,87,1332191086,1837180542
157,52,-518486463,1572968946
158,39,-1770695920,682436596
159,116,-1078965250,-348874900
160,65,795317401,-27083851
161,52,-1627228746,-653065569
162,87,831555817,-112415700
163,87,-2033059936,-1479845067
164,52,-361575702,-559979384
165,174,591550409,82507038
166,13,1751725426,-245908038
167,87,-1873483626,-151622248
168,29,-57223888,-294271104
169,145,-1293056279,1112218074
170,174,32782128,396883356
171,52,-993499585,-1065904207
172,116,-1260604385,211404437
173,116,-395076113,1997539572
174,145,1016368432,-1984492791
175,26,-1519100627,466074826
176,145,-1787301785,-926942707
177,58,2130153090,-903949191
178,78,1778169037,-1792400874
179,52,766411672,-74285431
180,26,-1498831369,-457127229
181,29,-140146029,-511352163
182,58,73460537,2063638734
183,174,-1127614660,1174373606
184,116,877460898,-1414029045
185,13,354361447,-637271206
186,52,655335353,-528575482
187,52,-1895685459,-1047966636
188,29,-2147376051,-424716261
189,52,-244157859,794574690
190,26,1667932312,1274945961
191,174,-417143625,-844468975
192,26,-1019028158,230490947
193,174,-1039355487,1820741502
194,58,313763660,1619010323
195,39,460870278,1656662449
196,78,-72286273,838372686
197,13,2022627536,-390490625
198,26,-2016880419,-657990049
199,78,1469312527,320668778
200,78,1750325257,-918749666
201,65,1275119179,-1498275669
202,39,705885780,420628268
203,65,-668686401,1084742404
204,13,775381227,-1400278202
205,87,911230669,825119033
206,52,566075389,-605361330
207,13,695075262,-2046059947
208,29,103429479,241134671
209,58,256332547,1183552013
210,65,1153259518,-2034133657
211,58,338611426,815837954
212,52,-1350790060,1695773377
213,145,703507402,339602954
214,39,-1492082787,-616393816
215,26,-2065651197,-1361231226
216,65,1976458931,-1341035580
217,39,1499093680,-242756010
218,26,2015064121,1107691821
219,29,1340652919,1135583018
220,26,2130627724,-1406477033
221,29,-701717688,1298687567
222,58,-1621081371,-2126499078
223,87,-1996569189,-724443540
224,26,-972062530,-84265719
225,87,1016747079,-919225948
226,29,223370570,-5601471
227,116,1876474811,198141594
228,174,1742061516,1776829377
229,39,-1731825256,-32015743
230,13,1330649042,279995349
231,65,-296477648,1280009527
232,78,-774006476,59074971
233,65,724924585,264601443
234,174,-1749931747,-1937581120
235,13,-1232964022,-469173608
236,29,-1875959482,770002715
237,13,-1686277612,1235272751
238,174,1338670178,-1764637793
239,87,-1085097739,-1069933956
240,26,1092773232,371501101
241,116,-1906216900,1394296487
242,78,-1161428905,592104230
243,174,1830263609,1333830227
244,65,-1328164351,-1625632724
245,65,-853042285,1460345127
246,145,1686031701,218580442
247,174,662747903,-1816906587
248,116,1588576735,-1025896014
249,65,1940161438,1790640031
250,116,-1132805851,-112665457
251,13,-1989759168,1838688854
252,116,-2107638889,996654793
253,145,-1503938770,1185079862
254,52,648973260,813290400
255,39,-1968524344,1883655747
256,26,-936961560,749718628
257,26,1013514958,-682054882
258,145,1565518351,-196633133
259,78,1675550109,251524376
260,58,-177621123,809454216
261,52,-1877461986,1509512820
262,58,1739804824,-553036774
263,58,-237746141,-1675355218
264,58,-361022700,2094196694
265,78,1917903663,-1380042192
266,29,760812120,-1437827536
267,87,-459020334,-1218676333
268,58,786968660,-102345060
269,116,-1682406661,-1823533464
270,29,290316040,-1092482547
271,26,-475292562,2136892663
272,87,371087857,-931210447
273,116,738994317,1269752031
274,174,-463558192,627687372
275,52,493717577,-1205969659
276,39,1289897046,-313121101
277,65,1710674653,1552802268
278,78,-1030588822,-99169012
279,39,-1744517905,1281230273
280,13,-860619690,-1604089445
281,145,1240999254,-2059139437
282,174,-1913594302,-1000799291
283,174,-1708837157,865776731
284,87,1267908026,-1870736237
285,116,899770687,-274586681
286,29,-693095719,-1952125819
287,13,138396822,-1308495106
288,58,1880131402,-1656266428
289,78,-586656724,577130144
290,174,-328186987,-1572122330
291,58,-1658546737,1182074612
292,58,-1729273270,1450105308
293,65,-566116275,881292349
294,116,1353350819,686513038
295,65,-982361788,-283286063
296,52,1167980351,362792589
297,29,-1974876257,1644117652
298,29,-524745203,-49926471
299,65,1789653387,1662714773
300,78,-366848535,635743793
301,29,-1996464861,1592911623
302,78,1829597802,-40637522
303,145,-2133074349,450004043
304,145,-1647175276,1833778342
305,116,-1075982002,898913475
306,58,721717834,-1581308630
307,87,1897235441,-395653380
308,87,-2113310264,2049500505
309,116,570136421,1176229925
310,87,-1581156964,947375097
311,39,257000001,-728534712
312,174,-1416463448,463385273
313,78,1173932063,1282300946
314,58,-767476346,141942819
315,13,-1368023283,-1283245754
316,87,-1309670978,1931311867
317,39,608053076,-1703454599
318,13,846279441,-1610596095
319,52,1630153343,-607023666
320,39,2083160713,2030359075
321,78,1371268925,-1260180881
322,174,-1100881634,341146355
323,65,592903796,1085371253
324,87,-1125074119,119977133
325,58,-727698490,904484625
326,87,1902529640,1985221566
327,29,1325100319,-1638884832
328,65,-1674438341,-202306088
329,52,-1159527552,-145183928
330,145,-1172197463,2057766724
331,116,567668774,1027254408
332,58,-1806601615,-125570297
333,78,-2076216398,525113189
334,116,-145658584,1090246170
335,78,214314801,-84240067
336,26,-383109730,-423221164
337,58,-1771835285,-2121709052
338,26,-1734436497,883728237
339,145,-1644820126,818089729
340,29,362282744,-1714500779
341,52,1118753166,-443202647
342,13,-1020123025,-1859475818
343,65,1091824089,1464420041
344,65,-1985558755,-1344650563
345,52,-1842746892,-1940002347
346,52,-1797937351,1755231956
347,174,-566275875,-1600378616
348,78,1259275623,-864314365
349,78,-617140470,2030519941
350,116,-963767637,-1586044709
351,39,-605755601,-309596406
352,39,46311052,1783459098
353,87,986892230,-1350782062
354,52,1201938698,-720642211
355,87,1042304063,741033783
356,78,-9718109,1759643280
357,78,-925525391,-1525659867
358,87,-1385590551,-240346625
359,58,-1272488666,1377574451
360,26,738898766,939855062
361,26,-1321791394,1288817568
362,65,2073608627,1323083560
363,87,1158106775,-234339455
364,13,1028995825,1281362115
365,174,-2042170161,-187414276
366,52,-464434584,1438896561
367,116,-1158504340,-1836082543
368,87,-2097988014,880396796
369,39,794099449,2133507463
370,13,689061070,478892277
371,116,112331813,293057763
372,52,-1376261842,-1890401041
373,58,893025690,-685288932
374,13,-590595786,899324506
375,87,239464872,-1792483547
376,145,-2038220304,-1005308173
377,58,-1157613741,-1888964915
378,13,-391474353,-699052675
379,65,-399073563,-848351884
380,65,-1023886652,1203045626
381,145,1516111484,514316775
382,39,-1978342134,-989777388
383,116,-1408298967,1891503703
384,87,-1310788363,-797923437
385,52,-1768349604,-847840364
386,52,-615447305,1196457932
387,87,-156216004,-1457915693
388,116,-1367108548,1637841438
389,58,24458761,1446527957
390,13,440907641,-1463322696
391,29,934947559,-1418266227
392,39,-1023709683,403747748
393,65,519075829,737530115
394,39,-1097758826,122929840
395,87,-1928371347,-564400053
396,87,541654541,-685036880
397,174,-536863162,-2117375576
398,26,2094062573,702591461
399,87,969618370,1907845702
400,13,754701372,117465858
401,29,1780937191,-731577147
402,13,-243210914,1746208960
403,39,1910812780,-1093908068
404,87,-241741567,-1650804898
405,26,1083151272,-2136975001
406,58,1074676023,1282508706
407,52,409145495,129392261
408,52,-2089694037,-1827881467
409,29,-1608344971,-671218158
410,26,145339164,86470430
411,26,1200697957,-1826997919
412,65,-650377891,1607621254
413,13,558947529,206757633
414,26,-1123519947,-123430796
415,52,-426092839,973080595
416,145,-1766515915,-646012975
417,78,25964115,-608152601
418,78,1992361526,-1444096602
419,145,1983984919,-1305454450
420,39,-734181637,1950083423
421,145,-1177340820,141654463
422,29,995237254,-484052334
423,13,-1157718405,-1887263439
424,87,1489322559,-1191441921
425,13,-683642788,-1227753780
426,174,475336843,-1774204122
427,145,1000598832,-2011487770
428,39,-916535563,-389772071
429,13,39129304,386146940
430,13,871802240,-1192457088
431,39,-982280700,1368159445
432,116,266865191,1671512028
433,87,-1392579413,-241372107
434,52,361684758,-691827490
435,87,-346921655,1327620153
436,26,1302131323,-2133697473
437,65,622814909,1000530420
438,87,621709640,710835666
439,58,1805828179,-289553651
440,78,-585391417,-1412244230
441,26,-927109678,-1626293108
442,145,1033736632,-1252223667
443,26,-433431413,1988401178
444,58,1902926687,-545608883
445,145,-115585156,1238179503
446,13,938743461,-608613828
447,145,-878132010,56561538
448,39,-660067817,-1982238328
449,13,2018581031,-878853837
450,29,-348944271,1610442157
451,116,1552195947,536663813
452,65,-259788727,-1724696376
453,29,-29248671,142319349
454,145,217768436,-571967404
455,39,-2030798759,1810388681
456,87,725118394,952506729
457,13,-1543312749,1683041241
458,29,191411982,-1428601412
459,145,1624061334,-1277864846
460,39,-863584730,-904418489
461,174,-523571130,-1711880227
462,145,592285846,670701901
463,13,-1664466268,416904239
464,78,1732263453,-1955627800
465,145,-1700109369,1438817503
466,116,1067473774,396923382
467,116,-1219974321,1614423618
468,39,1249476685,1307079512
469,58,1229369797,-774508572
470,116,-1576293457,151171
471,145,924790380,137912715
472,65,1613987834,-1794137827
473,26,-1708055841,1200945172
474,65,1315088684,1505829803
475,174,-718954772,1116723481
476,58,2098085870,-1177302468
477,29,-401497180,-183756192
478,13,766521891,2059449657
479,52,500873015,1788785437
480,78,-1235623348,-854749796
481,145,967133714,-1145486968
482,39,-481851684,1127233694
483,65,1090652392,722630625
484,65,-1885360491,716739184
485,52,1667169431,800242173
486,39,-1425962986,1475125652
487,87,-291982270,1158094472
488,39,533451465,351458379
489,58,2069127396,-1237485636
490,116,-534948222,-2127844356
491,39,-957340586,1573157117
492,87,-410938704,2084776649
493,39,-1934442236,1455595012
494,58,-2140768025,-1020995746
495,65,-1017040863,-1687488572
496,174,-1125668872,-1529780818
497,116,-2065594806,-357295226
498,13,-802700237,1904019862
499,39,532402453,1820382954
500,78,-903890480,769047657
501,39,-1122705796,-1745368360
502,58,-1637569937,1497278452
503,39,-313833105,78465421
504,58,1281869461,-1354227252
505,26,860033306,32757704
506,29,-1308576225,1376452765
507,52,-125738845,1941665171
508,174,1562824832,-734478732
509,13,1526385025,-482993973
510,39,369217861,-27053445
511,58,2105425366,-2081183481
512,65,-1656628705,-1804477176
513,145,-767025474,5849198
514,116,-1957312633,1213413693
515,65,-452604178,-1173420915
516,58,793579111,812619923
517,145,1298232379,-1413210017
518,58,-1914751846,1026324522
519,13,861497529,790034967
520,13,506487465,-1185628069
521,26,-1813725841,-1305539675
522,52,-370604038,-1855066460
523,39,-439343948,1289063993
524,65,-937878935,1667795018
525,52,-1255107632,-1023181453
526,39,-299925901,2072721443
527,87,1273490682,-199487659
528,174,1811933910,-1956727412
529,78,480612945,943152199
530,174,-115435065,-393351085
531,29,1412456715,-1015717408
532,78,1685551789,-1084112503
533,145,919151654,-1460279537
534,39,1054031333,126776830
535,58,1633687175,1385898994
536,58,-1912569991,679367992
537,29,671097951,-1713058557
538,26,927969917,-953275175
539,13,-581010659,-560196004
540,145,-458385000,-1121401649
541,29,2038348977,-1197314482
542,29,447640006,1899049116
543,26,-105457571,-1173290450
544,87,-1557843812,996155084
545,145,1090407746,1316717251
546,174,-853037223,-1514067696
547,26,1568642008,-1393845764
548,39,1566101818,2107209576
549,145,1537710697,-1680145470
550,39,-574022748,1169308934
551,26,839250798,-1385453778
552,116,-1201713215,985156152
553,39,-232008879,1610138619
554,52,1422072403,626175697
555,39,1748799619,-888572320
556,39,-1522596632,-376845102
557,26,306113562,-1008519447
558,65,-1644167787,1903375116
559,52,-1779150569,599580107
560,26,-1919311122,1734975441
561,78,-1072396010,80641808
562,145,806734908,-25198942
563,58,-476074133,1023290255
564,78,1654539575,-1862388176
565,58,-819755575,-1336830703
566,78,1305456665,846066385
567,87,-1608116594,-2012055583
568,116,-1246252051,-780749545
569,78,972424747,526055846
570,78,-2139388522,1988096809
571,29,-2118319263,1843264153
572,87,-53714293,-1334940979
573,39,101606459,-303751465
574,26,-1104430438,-462639974
575,78,2137492886,1408525825
576,174,2129034447,968007439
577,87,-1614850198,-407397077
578,78,1162986480,685490061
579,145,-1352431146,-1748696458
580,39,1674841843,-298831187
581,58,-1389845932,-1620472014
582,39,-1330938041,-255768041
583,29,-1758857897,2121895696
584,65,673730527,212266677
585,58,336344475,-2040783348
586,145,-38464251,-1904187125
587,65,1170609963,1811022821
588,174,519221687,-2065654037
589,116,1344805888,1369160649
590,13,-88839952,-211317956
591,145,-1051843816,-1023532544
592,116,1367740292,1521423065
593,87,1623510451,676743793
594,145,-855836633,-283411547
595,52,1789141741,-246207032
596,29,1142844208,268987071
597,58,-925348331,1557101433
598,65,444603522,1574292091
599,145,-530422369,-543740849
600,145,-1867880814,-116712424
601,26,1782749162,-927120848
602,145,1540682220,-1183605412
603,174,-1905967906,-517502745
604,39,1212970984,-39038438
605,52,1386604080,1475697841
606,52,2009116367,820132378
607,52,1885960728,2037418163
608,116,-104625386,-782195706
609,145,1021935969,-1680155249
610,116,-784770759,1327426496
611,26,1510664372,-1573169080
612,116,-2039576090,296004758
613,26,-1156652670,1246926768
614,174,-1391204169,-750419658
615,52,-1396688320,770524835
616,39,-1981139273,-1338591442
617,52,221197913,408360825
618,58,-985233714,-1896271935
619,65,-2039625858,-68228649
620,145,122684781,-862578338
621,58,-993656994,-1109902121
622,65,-389212735,-197120936
623,29,619486762,15253281
624,87,425140154,-597804998
625,13,1612364985,1188504647
626,174,-472704410,231865515
627,58,52776315,1776963044
628,87,-1105988907,1378494503
629,13,-473230845,-734012105
630,13,2059774155,-1672582037
631,145,1605404040,219063358
632,52,1325762118,-1415427972
633,87,2107166766,-53829445
634,52,973962937,1404222173
635,78,-1112219748,406010880
636,65,247405217,1781868926
637,39,-1743907695,-811186689
638,52,-31993381,704077435
639,145,2042794138,2062822161
640,58,-1095782505,-2139375568
641,145,1839784975,1240183491
642,65,620473068,881547980
643,39,-851843501,-699524018
644,29,-1079893279,-1545988211
645,26,1967969354,617730529
646,65,-129558550,-652964845
647,29,895238539,-1139934561
648,29,994145934,147171800
649,13,1179017667,-820940641
650,13,-2015737476,863076775
651,78,426288492,2138935514
652,39,-1720171631,-245178266
653,116,1705034803,814460665
654,39,725919111,955791457
655,39,730844513,-1256408652
656,13,1136754096,619429260
657,26,-1129974543,-1857989706
658,58,-1893063640,-793913336
659,29,696803187,-258053042
660,78,-1472599825,1493155288
661,52,-209118499,-2130406635
662,174,1290639243,-788127074
663,13,-1638284870,1976936835
664,26,938946756,-2143802931
665,52,-169684275,-114811550
666,116,-1882185187,-1347077029
667,39,553523668,331296825
668,87,-760574713,926966514
669,39,-1384312324,-130944869
670,65,-1717420574,191800592
671,174,1520524892,1193435422
672,116,921500933,-1766958699
673,65,-1019836821,-771269408
674,52,-1761167954,1511659514
675,39,1473108,-851649090
676,65,-293490068,-1329699023
677,116,106272641,-1036138250
678,13,-187282217,-779673150
679,26,-661729908,837984357
680,65,-1624813632,-1616848604
681,29,-1558184105,1345151046
682,29,-551596701,1135471310
683,29,1016352144,-604890433
684,87,-220168384,-1742432285
685,65,15240615,402759726
686,78,1842072288,2111805355
687,87,-758701359,1682880640
688,26,-449786844,-603781529
689,145,1640555123,916885066
690,116,-1970486966,2013604940
691,29,2091105752,-885081872
692,145,1424241970,-760529183
693,39,-1267689358,1120065832
694,13,1038082007,455290731
695,13,1445034767,-1518858603
696,174,-1713358083,-1404800264
697,65,789430050,1253172560
698,39,441764736,-138350778
699,87,-1878426301,-67136317
700,39,1607908075,-1809518471
701,116,1706685430,169505033
702,58,-603171877,-170704557
703,174,-175923766,1119858598
704,87,481702099,-1125699020
705,145,-815717381,587563498
706,39,443533239,1506409500
707,65,-1700388388,-938709570
708,29,-2082814444,1285055486
709,78,-946431712,1443422503
710,58,166566446,-762938110
711,52,600682141,-1316105048
712,116,-1178734865,486035049
713,58,953728483,1063452634
714,13,-1823928265,-855399508
715,87,532076791,-483920954
716,29,1422081261,2098920956
717,78,-1038973703,-458126547
718,145,324184632,1896449313
719,29,-552932482,-1058166340
720,58,-777469909,1493334218
721,52,-565215147,-1273868754
722,29,1056211295,-223281606
723,29,613330002,-568018942
724,58,506866284,795241564
725,13,-1717524102,-314266389
726,145,1942549497,-552048361
727,65,318124214,-671075502
728,116,-1103114273,-576003763
729,116,-521390603,-310283142
730,65,-1986383421,-1423793008
731,145,-1938957632,-276303304
732,29,-1485977055,-1689626452
733,87,-1685901173,96757548
734,13,1359003973,-871638753
735,116,1315944499,-968471632
736,145,1255774105,-758031465
737,116,-2138297692,-188005479
738,174,-269987908,-623536687
739,26,-14606384,-2116184169
740,29,-1590970091,488516574
741,52,347632649,1337218346
742,174,339026778,1603768753
743,65,-1881294452,-1656872853
744,58,483327375,-81763572
745,52,-1713389374,635085283
746,13,1997428668,-1457016975
747,87,-2009165905,-524610619
748,87,-1141851770,-558862040
749,29,2090070469,245194395
750,13,483583296,-1302021289
751,52,2138797031,924881953
752,145,404123759,-1833843319
753,145,238349717,2057642659
754,26,-77033336,1724081393
755,26,1324355274,-787936343
756,116,-1245710503,-791643285
757,39,-1290681282,4279092
758,26,1757470728,382107000
759,58,375371166,-1899366264
760,116,-2041052457,833364648
761,116,1623601660,-371053832
762,52,-737623833,904373703
763,13,-1521907079,1832306525
764,52,-1525891653,-1547565745
765,29,-897278341,-588618047
766,58,-2057581483,1089275390
767,87,888162485,-433172386
768,26,1492758771,-1001294686
769,87,2080498347,-2015784578
770,26,-1638086360,1266910229
771,145,122440747,926110472
772,116,1491409185,1816803329
773,116,-1485279848,1495483174
774,87,1738179366,-1445189714
775,174,-1214734429,-403006222
776,87,1606743019,973064926
777,29,-1140031889,-1131284655
778,145,-180803229,2145519349
779,39,-985158149,1717584075
780,58,1444941474,-460167138
781,78,-852970326,2004775531
782,65,-885834939,1859941815
783,116,903368108,1856886133
784,26,-1453610788,403728002
785,39,1941075981,1148012963
786,52,-685904685,-348726574
787,13,-376594380,-1729279445
788,58,-1051774363,1890134257
789,116,1140434677,-1279389586
790,87,-1501309654,-1909813992
791,87,-337432905,1970977177
792,174,837002590,-909924975
793,13,266924423,518313783
794,13,-1696110339,1844866448
795,87,-849782679,-324691743
796,78,-496240867,-254352780
797,52,-1631661142,-819997882
798,39,2089354234,33604394
799,13,1490445847,225029281
800,13,993681846,-1654260437
801,39,1657259323,-936759525
802,65,-1070779509,929076133
803,174,-890924160,-39477386
804,39,-1988676269,1898100495
805,29,980532472,-894093505
806,26,-1039137334,1120342345
807,145,602880991,1706701929
808,145,1705426429,1002082708
809,29,-2060065144,764655909
810,78,-269049771,-1356904546
811,78,-2114782702,-342162434
812,145,1291215097,-135224486
813,145,-1590631161,1812284459
814,58,-1503760543,-1583032890
815,39,-92542582,2007119155
816,65,-1020826001,-673060563
817,52,-1783742587,830041249
818,26,932992165,-708204580
819,26,1725544873,982892167
820,52,-1647697492,1188135272
821,58,-1824048291,1989253099
822,58,-1979234972,-595057234
823,87,1034175574,1783449964
824,29,116172257,-270896492
825,13,163938350,-1070603548
826,87,1958331247,317512429
827,65,-1207719339,-357182238
828,13,-1674362771,829824127
829,65,-1387955784,-1824869108
830,29,-846718192,-2147193039
831,52,-1453621444,-303922916
832,26,1155623669,468072051
833,174,345541032,947221075
834,116,-1587299153,1485225601
835,58,1301660079,1964295054
836,87,593070744,-1108924086
837,52,-99869489,195933837
838,13,29504119,1475843853
839,78,-1790862385,-1849398985
840,39,-2004605398,93333433
841,78,190251421,-56910782
842,116,457698922,1571614834
843,29,-1144410806,-802722187
844,52,-2000865493,-758392352
845,65,-1264651458,-983809563
846,87,1772003395,-1470311029
847,39,1624451750,-1653479075
848,78,527623007,-848624893
849,52,470054646,-1391998234
850,65,1078769487,-1698880603
851,65,-1828133711,1592606627
852,29,-275986161,-16178076
853,87,-852663058,-1465300155
854,145,1851642949,2070594921
855,78,430614586,-1856830358
856,65,-1570122773,2121654286
857,52,1658387270,1265155026
858,87,-1592765104,1284524784
859,26,-398735551,-784026309
860,58,-1132791785,-2660374
861,58,-1536058722,-1799066485
862,145,1831287155,253023569
863,58,-573179554,784643909
864,13,1140669472,-1926806004
865,39,1730867513,-110581851
866,13,402929198,-395568386
867,29,1311234671,1804573189
868,87,-1126380199,-1334953375
869,26,-699791303,-1692933922
870,174,-1668271362,-1678400080
871,116,-1349484776,-1444719065
872,78,-141211844,1627735435
873,65,-2051676433,-1508620521
874,145,1642790738,1769390832
875,145,1487102296,639004102
876,13,-395215584,-2089555230
877,58,2101808604,1819170577
878,39,92219050,-871051984
879,174,437033402,-839714722
880,58,408283966,-580507459
881,39,1840749014,-119002518
882,13,-1765662181,-231382527
883,52,365855712,1982799266
884,174,-1726652863,-1786194399
885,52,-121349499,-521780984
886,65,996059645,1229487832
887,58,1540458699,-874806390
888,65,1722640165,222686514
889,26,1480334660,413255034
890,26,-2024809762,1691775368
891,65,-1097152202,525025774
892,29,1515085719,554716595
893,116,408558087,-926124599
894,39,802936410,-821806451
895,87,1335944357,576257214
896,116,-794829347,1896920539
897,174,1858257214,-1484810242
898,52,1920777077,933945121
899,116,2016575984,-122510550
900,39,-511620868,-2012422580
901,29,-716730952,-1711298140
902,29,-446420213,-248959870
903,174,-1781506075,803545692
904,52,1664093225,-1122251517
905,116,490054567,-1141875914
906,87,678253231,1041923602
907,58,-848630720,-2127113709
908,13,-1588137897,1251714755
909,26,1000654360,-1170855407
910,52,-1586031051,-1106896229
911,26,290583463,-1822374617
912,78,-498181640,-661511311
913,87,1527307925,1192104719
914,116,2034397005,-772833225
915,87,-1407492378,-461777417
916,145,-869329822,1290692985
917,116,225083196,1411264952
918,78,5038619,-160855472
919,174,952927560,-2146699059
920,26,1507798233,-1838807049
921,116,-42488929,-1737251333
922,145,-1456708438,-618019994
923,58,1573068905,-680169045
924,174,444642082,1040503885
925,39,-486101922,2064545296
926,39,368569307,1490515236
927,29,2087426026,1987608022
928,29,1128334467,479472043
929,145,2121533807,607223930
930,174,1479899906,1938737363
931,174,-1750927235,-1531916357
932,78,95544447,-503281461
933,78,1806481560,-19422659
934,65,85561939,1426470003
935,174,-1468197549,-1106205216
936,39,1818012832,1900258223
937,87,-2072069609,-2063461167
938,58,-1687238473,-359679901
939,116,1528738244,724146809
940,13,201875557,1120146076
941,174,-572014400,1505688201
942,65,896741852,-243978203
943,145,-1683570118,1691228579
944,58,1991254435,-1116928549
945,39,2095791693,338851652
946,65,-725619903,-1420809488
947,13,-1995200804,263083166
948,13,945503042,348783277
949,52,901236926,1095003065
950,87,-992432817,814066106
951,65,230865851,-135749143
952,29,1928240360,137411651
953,65,-1142169876,-964700205
954,78,405120734,780850621
955,87,708386567,2029690256
956,26,-412975280,1180366521
957,29,939362614,-1806513705
958,26,1078350220,939960950
959,116,578727300,698314490
960,174,704302707,-671889850
961,174,77905830,1643241756
962,87,-982747302,-435996245
963,39,734536361,934830538
964,145,-43419648,-1336167763
965,58,1145865385,182078912
966,29,-1706111563,-896134884
967,78,-1700751684,-1083809359
968,116,453264453,655007047
969,29,1912997722,186691607
970,87,-342536787,1334363716
971,145,-1442909406,1137147418
972,52,665611534,-2135566319
973,26,-873643829,-1970305015
974,174,45505831,-1298183591
975,58,487770529,-859914072
976,78,-98483606,655850665
977,26,830287041,-547562709
978,145,-487662687,-964095282
979,29,397626665,-464211603
980,39,978045871,-1025333753
981,26,-112508172,-1165839061
982,116,1473274526,-1367499530
983,13,-353030420,-1012582078
984,26,569631671,1547513109
985,145,-525011167,-1441219098
986,13,1672794793,567377072
987,52,2044884092,1952928143
